codeCPV,count
45262321,23
45452000-0,22
14622000-7,22
45212354-2,22
55500000-5,22
31520000-7,22
15511000,22
45212420,22
24111500,22
85111820,22
19640000,22
35110000-8,22
43310000-9,22
79313000-1,22
45233290,22
72514000-1,22
85320000-8,22
45315300,22
45212330,22
48800000-6,22
71315200,22
45324000,22
64215000-6,22
66331000-9,22
09211000-1,22
50313200,22
03451300-9,22
09130000,22
45262620,22
90511100,22
19520000-7,22
71315100-0,22
45314320,22
18513000,22
24111500-0,22
50334110-9,22
92320000,22
45316210-0,22
31500000,22
35200000-6,22
45432110,22
79413000-2,22
34136200-1,22
45261400,22
44316510,21
45262311,21
45422100,21
09120000-6,21
90511400-6,21
45232400,21
45212100,21
32584000-0,21
39300000-5,21
34352000-9,21
42122000-0,21
33184100,21
48820000-2,21
45262100,21
15897200-4,21
43325100-8,21
90913000-0,21
77211400,21
44611500-1,21
43325000,21
73110000-6,21
34144431-8,21
79520000-5,21
79411000-8,21
18937000-6,21
44141000-0,21
44114200-4,21
85147000-1,21
90714000-5,21
72700000-7,21
03121200-7,21
66516400,21
45112340-0,21
79342200,21
45451000-3,21
45313000-4,21
72611000-6,21
72222300-0,21
79400000-8,21
90460000-9,21
50244000,21
64120000-3,21
74700000-6,21
39151000,21
37500000,21
30197643-5,21
90121100-2,21
30211300-4,21
85200000-1,21
45252125-0,21
45232451-8,20
39710000-2,20
22454000-7,20
45421132,20
80330000,20
90640000-5,20
50420000,20
45216111-5,20
50712000,20
31224500,20
50880000,20
60424120-3,20
63700000-6,20
15110000,20
09332000-5,20
44161200,20
03451000,20
92512000,20
09132000,20
45212420-6,20
79210000-9,20
79714100-3,20
32321200,20
45252126,20
60161000,20
45215210-2,20
09135100,20
71631100-1,20
30163000,20
34114200-1,20
45311100,20
50116500-6,20
45442120,20
09134200,20
39161000-8,20
15550000,20
55100000-1,20
79960000-1,20
45261213,20
45315600-4,20
44211500-7,20
77313000,20
79416200,20
66519310-7,20
16720000-8,20
34921000-9,20
80510000,19
33711900-6,19
79970000-4,19
31720000-9,19
64212000,19
42130000-9,19
03111000-2,19
15331170-9,19
45233128,19
37410000,19
45223210,19
15551300-8,19
66513200,19
45232121-6,19
43250000-0,19
44115200,19
42418000-9,19
38434560-9,19
34144512-0,19
34210000-2,19
44221000-5,19
92370000-5,19
45232400-6,19
45421151,19
45221110-6,19
15850000-1,19
79418000-7,19
79411100-9,19
15910000-0,19
72590000-7,19
31400000-0,19
44191000-5,19
39296000-3,19
24440000-0,19
80100000-5,19
34320000,19
63510000,19
30192400-5,19
39311000-5,19
44171000,19
45112320-4,19
85312510,19
15894200,19
22459000-2,19
45233139-3,19
42418000,19
45314000-1,19
50232110-4,19
71500000-3,19
35261000,19
74251000-3,19
45262330,19
90600000,18
44423400,18
44111520-2,18
71315210-4,18
72314000-9,18
22900000,18
50532400,18
50730000,18
45312200-9,18
79313000,18
50411100,18
42990000-2,18
39156000-0,18
45213230,18
45259900,18
72200000-7,18
79632000,18
63724310-6,18
71311000,18
42964000-1,18
44221400-9,18
90524300-9,18
45112360-6,18
45216100-5,18
45451000,18
71631430-3,18
72212000,18
16311100,18
90420000,18
90722000-4,18
71351500,18
45343200,18
44621200-1,18
37416000-7,18
63521000-7,18
90919300,18
72610000-9,18
98513100-3,18
71353000,18
50313000,18
70130000-1,18
45231000-5,18
71220000,18
39370000-6,18
45331220,18
50500000,18
32323300-6,18
45233300-2,18
35260000-4,18
37000000-8,18
03221200,18
90400000,18
39224300,18
30199000-0,18
15112100,18
39120000-9,18
45112450-4,18
15131120,18
45215000-7,18
90650000,18
90690000-0,18
72246000-1,18
44175000-7,18
45234230-7,18
37412000-9,18
45214610-9,18
45212340,18
77311000-3,18
50343000-1,18
50532000,18
40000000-2,18
66513000,17
48450000,17
79200000-6,17
45251200-3,17
73200000-4,17
19600000-2,17
50421200,17
50232000,17
75112100-5,17
31680000,17
42961300-3,17
45422000,17
92621000,17
71530000-2,17
90514000,17
45421132-8,17
92600000,17
92111260-2,17
45212500-1,17
55300000-3,17
18300000,17
39713410-0,17
70310000-7,17
71351600-9,17
90612000,17
24321000-0,17
45112340,17
92111200-4,17
45232332-8,17
90533000-2,17
30144300-3,17
98351110-2,17
43315000-4,17
71313440-1,17
33750000-2,17
79954000-6,17
92111260,17
44113610,17
90712000-1,17
92520000-2,17
41000000-9,17
11000000-0,17
45215222,17
42600000,17
42415110-2,17
45215213-3,17
98311000-6,17
90650000-8,17
90721600,17
45233253-7,17
45233293,17
55240000,17
45212310-2,17
18800000-7,17
34136100-0,17
90513600-2,17
33751000-9,17
37500000-3,17
79416000-3,17
80400000,17
45262521-9,17
39162000-5,17
90710000-7,17
09122100-1,17
90918000,17
45214400-4,17
39224000-8,17
30199230-1,17
15893100-5,17
45262300-4,17
80411000,17
03413000-8,17
45233121,17
45262511-6,17
42991000-9,16
71351000-3,16
79415200-8,16
55524000-9,16
03100000,16
50860000-1,16
34320000-6,16
33771000-5,16
